account_number,company,transaction_amount,transaction_date
56124453,"Barnes, Young and Sanchez",65.63,2024-04-29
35927483,"Hamilton, Brown and Vincent",83.5,2024-04-25
56124453,"Smith, Smith and Sanford",21.38,2024-01-07
56124453,"Greene, Martin and Benson",12.49,2024-06-14
35495640,"Greene, Martin and Benson",61.28,2024-01-13
35927483,Davis-Ramos,72.84,2024-03-07
35495640,Smith-Daniels,56.07,2024-06-29
35927483,Hester-Thomas,18.61,2024-04-14
35927483,"Suarez, Russell and Coleman",30.09,2024-05-29
35927483,Monroe-Howard,67.49,2024-02-05
56124453,Davis-Mcgee,64.35,2024-01-23
35495640,"Nguyen, Walker and Church",34.15,2024-05-22
35927483,Allen Ltd,91.34,2024-05-19
35495640,Allen Ltd,15.31,2024-04-24
56124453,Weber-Lynch,27.45,2024-05-18
35495640,Hayes-Rios,44.77,2024-04-03
35495640,"Barnes, Young and Sanchez",65.9,2024-03-24
56124453,Davis-Kennedy,91.53,2024-02-02
56124453,Davis-Kennedy,45.7,2024-07-02
35927483,Davis-Mcgee,15.96,2024-02-11
56124453,Hughes Inc,25.41,2024-03-18
56124453,"Thomas, Walker and Craig",76.4,2024-01-14
56124453,Monroe-Howard,29.09,2024-05-19
35927483,"Thomas, Walker and Craig",42.87,2024-07-02
35495640,Carpenter PLC,53.73,2024-07-06
35927483,Brown-Shaffer,7.66,2024-05-06
35927483,"Suarez, Russell and Coleman",56.68,2024-05-07
35495640,"Evans, Young and Dean",63.87,2024-04-20
35927483,Allen Ltd,96.05,2024-03-07
35927483,"Rhodes, Miller and Jackson",20.23,2024-01-27
35495640,"Martin, Fuentes and Owens",0.56,2024-03-13
35495640,"Evans, Young and Dean",58.92,2024-04-14
35495640,"Evans, Young and Dean",19.63,2024-04-24
35495640,"Nguyen, Walker and Church",74.23,2024-03-07
35495640,Gomez-Hunt,62.38,2024-05-01
35927483,"Thomas, Walker and Craig",33.36,2024-03-22
35927483,Allen Ltd,50.26,2024-04-06
35495640,Sanchez-Meyers,51.36,2024-01-27
56124453,"Rodriguez, Ray and Romero",73.11,2024-07-26
35927483,Allen Ltd,56.35,2024-02-19
35927483,"Rhodes, Miller and Jackson",28.17,2024-05-01
35495640,Sanchez-Meyers,30.07,2024-03-11
56124453,"Hamilton, Brown and Vincent",65.17,2024-04-05
56124453,Reyes PLC,52.22,2024-03-25
56124453,"Rodriguez, Ray and Romero",32.55,2024-03-07
56124453,Reyes PLC,86.09,2024-01-17
35495640,"Trujillo, Ewing and Young",98.02,2024-04-07
56124453,"Smith, Smith and Sanford",73.97,2024-06-09
56124453,Gomez-Hunt,96.14,2024-06-29
35927483,"Castillo, Hill and Lee",70.05,2024-04-17
35495640,"Suarez, Russell and Coleman",98.35,2024-03-23
35927483,"Barnes, Young and Sanchez",16.76,2024-02-20
56124453,Brown-Shaffer,72.75,2024-01-08
35495640,"Martin, Fuentes and Owens",61.63,2024-07-13
35495640,"Rodriguez, Ray and Romero",77.79,2024-03-15
35495640,"Figueroa, Stark and Ferguson",45.38,2024-04-11
35927483,"Barnes, Young and Sanchez",24.71,2024-02-05
35927483,"Smith, Smith and Sanford",78.73,2024-01-01
35927483,Davis-Mcgee,39.66,2024-02-27
35495640,"Suarez, Russell and Coleman",89.32,2024-02-18
35495640,"Greene, Martin and Benson",33.25,2024-02-28
35927483,"Trujillo, Ewing and Young",15.17,2024-05-27
56124453,Hester-Thomas,94.98,2024-06-07
56124453,"Martin, Fuentes and Owens",36.15,2024-06-22
35495640,Davis-Kennedy,37.57,2024-05-17
35927483,Carpenter PLC,18.45,2024-06-17
35495640,"Martin, Fuentes and Owens",24.83,2024-07-04
35495640,Weber-Lynch,9.21,2024-07-24
35495640,"Rhodes, Miller and Jackson",82.66,2024-01-04
56124453,Sanchez-Meyers,24.89,2024-04-25
35927483,"Nguyen, Walker and Church",91.0,2024-01-05
35495640,Carpenter PLC,1.22,2024-06-16
35927483,"Suarez, Russell and Coleman",53.19,2024-05-10
56124453,"Smith, Smith and Sanford",41.68,2024-03-21
35927483,"Thomas, Walker and Craig",17.13,2024-04-25
35927483,Davis-Ramos,46.08,2024-07-03
35495640,"Barnes, Young and Sanchez",13.83,2024-05-07
35495640,"Rodriguez, Ray and Romero",34.67,2024-02-28
56124453,"Nguyen, Walker and Church",7.44,2024-07-09
35927483,Hayes-Rios,42.3,2024-01-06
35495640,"Smith, Smith and Sanford",30.64,2024-02-22
56124453,"Rodriguez, Ray and Romero",49.27,2024-02-17
35927483,Carpenter PLC,55.33,2024-06-20
35927483,Weber-Lynch,33.77,2024-06-10
35927483,"Smith, Smith and Sanford",50.71,2024-04-24
35495640,Sanchez-Meyers,87.47,2024-02-16
35927483,Jones and Sons,75.41,2024-07-06
35927483,Carpenter PLC,42.28,2024-01-28
56124453,"Figueroa, Stark and Ferguson",41.67,2024-03-24
35927483,"Rhodes, Miller and Jackson",93.33,2024-06-21
56124453,"Rhodes, Miller and Jackson",38.87,2024-04-18
56124453,Davis-Kennedy,83.04,2024-03-26
35927483,Hester-Thomas,65.8,2024-07-13
35927483,"Trujillo, Ewing and Young",96.3,2024-01-26
56124453,Weber-Lynch,76.63,2024-06-05
35927483,Monroe-Howard,95.0,2024-05-22
56124453,Hayes-Rios,28.13,2024-05-29
56124453,"Martin, Fuentes and Owens",65.56,2024-02-09
35927483,"Evans, Young and Dean",81.55,2024-02-27
56124453,Reyes PLC,29.44,2024-05-01
35927483,"Rhodes, Miller and Jackson",76.13,2024-04-01
35495640,"Barnes, Young and Sanchez",69.41,2024-06-04
35927483,Davis-Mcgee,7.56,2024-01-11
35927483,"Nguyen, Walker and Church",94.8,2024-03-26
56124453,"Trujillo, Ewing and Young",97.09,2024-05-03
35927483,"Greene, Martin and Benson",42.41,2024-07-19
56124453,Allen Ltd,31.36,2024-05-30
56124453,"Trujillo, Ewing and Young",94.56,2024-04-22
35927483,Monroe-Howard,59.52,2024-06-05
35495640,"Thomas, Walker and Craig",10.46,2024-05-11
35495640,Davis-Kennedy,92.35,2024-05-08
56124453,Hester-Thomas,65.84,2024-05-31
35495640,"Trujillo, Ewing and Young",27.55,2024-06-06
35927483,Davis-Kennedy,93.72,2024-02-18
35927483,Brown-Shaffer,21.32,2024-01-07
35927483,"Thomas, Walker and Craig",50.63,2024-06-14
56124453,"Thomas, Walker and Craig",8.95,2024-05-08
35495640,"Hamilton, Brown and Vincent",85.0,2024-07-08
35927483,"Barnes, Young and Sanchez",77.41,2024-07-16
35495640,Jones and Sons,25.83,2024-04-01
35495640,"Rodriguez, Ray and Romero",4.59,2024-03-09
35495640,Weber-Lynch,2.89,2024-07-18
35495640,"Trujillo, Ewing and Young",54.21,2024-07-27
35927483,"Suarez, Russell and Coleman",85.0,2024-07-20
56124453,Hughes Inc,6.65,2024-06-15
35927483,"Evans, Young and Dean",17.91,2024-05-20
56124453,Davis-Ramos,89.96,2024-05-15
35495640,Smith-Daniels,89.28,2024-07-15
35927483,Weber-Lynch,21.04,2024-07-04
56124453,"Hamilton, Brown and Vincent",20.63,2024-01-04
35927483,Davis-Mcgee,31.32,2024-03-11
35495640,Hayes-Rios,62.25,2024-07-05
35927483,"Castillo, Hill and Lee",77.08,2024-04-23
56124453,"Nguyen, Walker and Church",92.62,2024-04-21
35927483,Davis-Mcgee,34.01,2024-05-09
56124453,Jones and Sons,17.86,2024-04-08
35927483,Sanchez-Meyers,21.8,2024-04-03
56124453,Smith-Daniels,1.15,2024-02-02
35927483,"Figueroa, Stark and Ferguson",23.0,2024-03-29
35927483,Davis-Ramos,97.28,2024-07-24
56124453,Hughes Inc,62.59,2024-07-13
35927483,Allen Ltd,7.62,2024-05-05
35495640,Hayes-Rios,50.88,2024-02-03
35927483,Hughes Inc,50.92,2024-07-17
35495640,Carpenter PLC,56.65,2024-07-11
35927483,Monroe-Howard,80.44,2024-05-03
56124453,Hughes Inc,86.87,2024-02-05
35495640,"Barnes, Young and Sanchez",31.69,2024-06-14
56124453,Monroe-Howard,14.19,2024-03-27
35495640,"Nguyen, Walker and Church",54.26,2024-02-15
56124453,Jones and Sons,48.41,2024-05-28
56124453,"Hamilton, Brown and Vincent",64.49,2024-01-20
35927483,"Castillo, Hill and Lee",59.15,2024-03-15
35927483,Sanchez-Meyers,30.61,2024-04-05
35927483,Hester-Thomas,97.91,2024-07-23
35495640,"Hamilton, Brown and Vincent",18.27,2024-04-14
56124453,Brown-Shaffer,22.02,2024-03-06
35927483,Jones and Sons,22.91,2024-05-27
35927483,"Martin, Fuentes and Owens",59.49,2024-07-09
56124453,"Suarez, Russell and Coleman",92.22,2024-06-13
56124453,Allen Ltd,12.71,2024-02-11
35495640,Allen Ltd,25.53,2024-07-15
56124453,Carpenter PLC,37.9,2024-01-27
35927483,Sanchez-Meyers,37.3,2024-01-13
35927483,Gomez-Hunt,25.72,2024-03-05
35495640,Weber-Lynch,9.08,2024-07-03
56124453,Smith-Daniels,7.1,2024-07-24
35927483,"Rodriguez, Ray and Romero",72.51,2024-05-29
35927483,Hester-Thomas,55.08,2024-05-09
56124453,Hughes Inc,77.93,2024-04-16
56124453,Davis-Ramos,74.45,2024-06-26
56124453,"Evans, Young and Dean",18.79,2024-03-11
56124453,"Figueroa, Stark and Ferguson",15.85,2024-05-05
35495640,"Rodriguez, Ray and Romero",46.47,2024-01-30
35495640,"Suarez, Russell and Coleman",51.22,2024-01-09
35927483,Carpenter PLC,44.38,2024-06-29
35927483,Jones and Sons,58.55,2024-07-05
35495640,"Martin, Fuentes and Owens",82.39,2024-07-26
35495640,Hughes Inc,7.25,2024-01-27
35927483,"Martin, Fuentes and Owens",1.17,2024-06-02
35927483,"Suarez, Russell and Coleman",82.34,2024-04-24
35927483,Carpenter PLC,84.44,2024-01-24
35495640,Reyes PLC,42.29,2024-05-30
35495640,Allen Ltd,49.78,2024-03-31
35927483,Hester-Thomas,10.89,2024-06-24
35495640,"Thomas, Walker and Craig",19.0,2024-05-04
35495640,Jones and Sons,98.76,2024-01-04
35495640,Brown-Shaffer,82.53,2024-03-25
35495640,"Thomas, Walker and Craig",15.2,2024-04-16
56124453,Brown-Shaffer,6.7,2024-02-15
35927483,"Castillo, Hill and Lee",47.69,2024-03-04
56124453,"Thomas, Walker and Craig",85.83,2024-02-24
35495640,"Hamilton, Brown and Vincent",83.72,2024-06-13
35927483,"Figueroa, Stark and Ferguson",48.93,2024-03-27
35495640,"Evans, Young and Dean",89.32,2024-06-16
35495640,"Nguyen, Walker and Church",51.34,2024-06-17
35495640,Brown-Shaffer,25.28,2024-01-31
35927483,Davis-Mcgee,54.8,2024-01-20
35495640,Davis-Kennedy,50.32,2024-05-04
56124453,"Trujillo, Ewing and Young",87.09,2024-07-23
35495640,"Thomas, Walker and Craig",72.15,2024-04-01
35495640,Brown-Shaffer,63.96,2024-02-18
35927483,Hester-Thomas,69.04,2024-07-18
56124453,Davis-Mcgee,99.39,2024-04-07
35927483,"Trujillo, Ewing and Young",41.08,2024-04-17
35927483,"Nguyen, Walker and Church",99.46,2024-03-11
56124453,"Suarez, Russell and Coleman",91.45,2024-06-19
35927483,"Rhodes, Miller and Jackson",93.62,2024-01-16
56124453,Jones and Sons,25.79,2024-05-25
35927483,Sanchez-Meyers,81.35,2024-07-19
35927483,Monroe-Howard,98.3,2024-06-22
35495640,Reyes PLC,74.64,2024-04-03
35495640,"Greene, Martin and Benson",90.97,2024-06-23
56124453,Carpenter PLC,68.46,2024-06-25
35927483,Gomez-Hunt,68.24,2024-07-10
56124453,Jones and Sons,84.44,2024-01-25
35495640,"Greene, Martin and Benson",86.79,2024-04-05
35927483,Weber-Lynch,61.96,2024-05-12
56124453,"Suarez, Russell and Coleman",64.05,2024-05-13
56124453,Monroe-Howard,40.03,2024-03-12
56124453,Hughes Inc,0.63,2024-04-03
35495640,"Martin, Fuentes and Owens",48.27,2024-04-09
35495640,Davis-Mcgee,11.05,2024-01-07
35927483,Hester-Thomas,86.43,2024-06-13
35927483,"Rhodes, Miller and Jackson",43.01,2024-01-31
35927483,Monroe-Howard,95.52,2024-04-15
56124453,Hayes-Rios,55.3,2024-04-20
56124453,"Barnes, Young and Sanchez",61.38,2024-01-30
56124453,"Trujillo, Ewing and Young",12.36,2024-01-17
56124453,"Trujillo, Ewing and Young",27.55,2024-05-09
56124453,"Suarez, Russell and Coleman",77.85,2024-05-17
35495640,"Trujillo, Ewing and Young",90.2,2024-02-11
35927483,"Hamilton, Brown and Vincent",19.95,2024-03-21
56124453,"Rhodes, Miller and Jackson",89.2,2024-07-21
56124453,"Rhodes, Miller and Jackson",71.29,2024-06-21
56124453,Monroe-Howard,6.37,2024-02-25
35927483,"Smith, Smith and Sanford",81.37,2024-06-07
35927483,Davis-Mcgee,34.04,2024-05-05
35495640,Davis-Ramos,69.51,2024-03-02
56124453,Monroe-Howard,10.16,2024-01-13
56124453,Carpenter PLC,99.62,2024-05-26
56124453,Brown-Shaffer,13.16,2024-05-12
35495640,Davis-Mcgee,8.91,2024-04-29
35495640,Gomez-Hunt,38.93,2024-03-21
56124453,Smith-Daniels,37.15,2024-06-19
56124453,Hayes-Rios,91.53,2024-01-18
35495640,Gomez-Hunt,21.03,2024-06-12
35495640,"Nguyen, Walker and Church",91.72,2024-03-23
35495640,"Evans, Young and Dean",64.72,2024-04-15
35927483,Davis-Ramos,65.93,2024-06-01
35927483,"Rhodes, Miller and Jackson",90.13,2024-03-20
35927483,Hughes Inc,31.5,2024-06-06
56124453,"Figueroa, Stark and Ferguson",55.6,2024-03-03
35927483,Davis-Ramos,24.43,2024-03-01
35495640,"Rhodes, Miller and Jackson",36.3,2024-03-04
56124453,Allen Ltd,22.56,2024-04-26
35927483,Hester-Thomas,28.75,2024-05-29
35495640,Hayes-Rios,12.95,2024-05-19
56124453,"Nguyen, Walker and Church",28.37,2024-06-22
35495640,Hayes-Rios,73.6,2024-03-15
35927483,"Thomas, Walker and Craig",67.84,2024-03-30
35495640,Monroe-Howard,31.85,2024-05-02
56124453,"Figueroa, Stark and Ferguson",40.85,2024-06-23
35495640,Monroe-Howard,16.79,2024-03-26
35927483,"Trujillo, Ewing and Young",4.27,2024-05-01
35495640,Weber-Lynch,55.0,2024-06-23
35927483,Gomez-Hunt,28.49,2024-04-12
56124453,Hester-Thomas,99.58,2024-03-16
35927483,"Castillo, Hill and Lee",81.16,2024-01-07
35495640,Brown-Shaffer,77.08,2024-03-10
35495640,"Trujillo, Ewing and Young",35.48,2024-03-09
35927483,Hester-Thomas,5.34,2024-06-11
35927483,Brown-Shaffer,26.84,2024-05-14
35927483,"Trujillo, Ewing and Young",53.78,2024-06-25
35927483,"Figueroa, Stark and Ferguson",61.0,2024-04-19
35927483,Smith-Daniels,18.34,2024-02-08
56124453,Monroe-Howard,41.47,2024-01-04
56124453,"Martin, Fuentes and Owens",69.38,2024-06-15
35927483,"Figueroa, Stark and Ferguson",56.02,2024-05-22
35927483,"Smith, Smith and Sanford",16.92,2024-07-13
35927483,Davis-Ramos,92.05,2024-05-03
35495640,Hughes Inc,23.28,2024-02-12
35495640,"Thomas, Walker and Craig",24.77,2024-01-02
35927483,Weber-Lynch,70.93,2024-04-08
56124453,"Barnes, Young and Sanchez",98.43,2024-02-07
35927483,Hester-Thomas,17.23,2024-03-27
35927483,"Trujillo, Ewing and Young",71.78,2024-07-05
35495640,Smith-Daniels,98.11,2024-01-15
35927483,Reyes PLC,38.34,2024-07-17
35495640,Gomez-Hunt,59.77,2024-01-22
35927483,Davis-Kennedy,37.83,2024-01-05
35927483,"Rhodes, Miller and Jackson",60.51,2024-02-10
35495640,Weber-Lynch,70.42,2024-07-17
35495640,Hester-Thomas,97.66,2024-02-20
35927483,Reyes PLC,83.2,2024-02-28
35927483,"Nguyen, Walker and Church",32.92,2024-06-13
56124453,"Nguyen, Walker and Church",35.15,2024-05-08
56124453,Carpenter PLC,93.28,2024-03-28
35927483,Davis-Ramos,3.12,2024-03-29
35495640,"Rodriguez, Ray and Romero",92.92,2024-04-11
35495640,"Evans, Young and Dean",23.2,2024-07-08
56124453,"Martin, Fuentes and Owens",73.08,2024-01-21
56124453,Gomez-Hunt,99.89,2024-01-04
35927483,Weber-Lynch,12.62,2024-02-06
35495640,"Thomas, Walker and Craig",10.8,2024-03-10
35927483,"Figueroa, Stark and Ferguson",93.28,2024-05-03
56124453,Gomez-Hunt,41.07,2024-05-09
56124453,"Nguyen, Walker and Church",13.09,2024-03-08
35927483,"Figueroa, Stark and Ferguson",85.33,2024-02-09
35927483,Davis-Ramos,77.85,2024-02-28
56124453,"Smith, Smith and Sanford",3.42,2024-03-20
35927483,"Martin, Fuentes and Owens",25.49,2024-02-15
56124453,"Rodriguez, Ray and Romero",65.44,2024-02-28
35927483,Davis-Kennedy,35.37,2024-03-13
35495640,"Greene, Martin and Benson",77.85,2024-03-04
56124453,"Suarez, Russell and Coleman",37.79,2024-05-04
35927483,"Figueroa, Stark and Ferguson",29.85,2024-03-02
35495640,Hester-Thomas,15.04,2024-02-24
56124453,Hester-Thomas,29.5,2024-05-15
35495640,"Suarez, Russell and Coleman",96.41,2024-02-14
35927483,"Nguyen, Walker and Church",32.92,2024-04-14
56124453,"Rhodes, Miller and Jackson",84.58,2024-02-09
35927483,Brown-Shaffer,91.44,2024-06-20
35927483,"Smith, Smith and Sanford",81.97,2024-02-21
56124453,"Rodriguez, Ray and Romero",56.66,2024-06-27
35927483,Sanchez-Meyers,31.2,2024-06-24
35927483,Jones and Sons,35.76,2024-04-13
35495640,"Trujillo, Ewing and Young",10.42,2024-05-10
35495640,"Hamilton, Brown and Vincent",6.09,2024-02-09
35927483,Hughes Inc,36.06,2024-03-03
35927483,"Barnes, Young and Sanchez",95.92,2024-06-09
35495640,Weber-Lynch,97.55,2024-02-12
35927483,"Rodriguez, Ray and Romero",14.15,2024-02-10
56124453,"Suarez, Russell and Coleman",56.91,2024-04-12
35495640,Hughes Inc,19.78,2024-07-24
35927483,"Castillo, Hill and Lee",67.77,2024-06-12
35495640,Brown-Shaffer,51.22,2024-03-17
56124453,Weber-Lynch,48.38,2024-02-13
35495640,Sanchez-Meyers,24.78,2024-07-16
56124453,"Castillo, Hill and Lee",76.8,2024-07-03
35927483,"Hamilton, Brown and Vincent",22.79,2024-05-07
35927483,Davis-Kennedy,2.58,2024-01-21
35495640,"Barnes, Young and Sanchez",42.73,2024-06-30
35927483,Davis-Mcgee,75.36,2024-05-07
35927483,"Greene, Martin and Benson",0.5,2024-02-22
35495640,"Trujillo, Ewing and Young",95.76,2024-05-15
35495640,Jones and Sons,17.36,2024-04-19
35927483,"Trujillo, Ewing and Young",29.44,2024-04-02
35495640,Monroe-Howard,9.59,2024-01-02
35495640,Davis-Mcgee,47.29,2024-01-16
35495640,Sanchez-Meyers,41.58,2024-07-25
35495640,Carpenter PLC,49.3,2024-04-10
35495640,Jones and Sons,91.13,2024-03-08
35495640,"Rhodes, Miller and Jackson",92.11,2024-05-09
35495640,"Evans, Young and Dean",3.19,2024-04-30
35927483,Monroe-Howard,5.81,2024-05-22
35495640,"Evans, Young and Dean",2.4,2024-05-08
35495640,"Nguyen, Walker and Church",42.74,2024-02-22
35927483,"Suarez, Russell and Coleman",97.5,2024-07-20
56124453,Sanchez-Meyers,89.33,2024-03-06
35495640,Davis-Mcgee,0.29,2024-07-17
35495640,"Greene, Martin and Benson",39.56,2024-01-06
35927483,Hester-Thomas,47.34,2024-01-01
35495640,"Suarez, Russell and Coleman",18.6,2024-07-17
35927483,"Smith, Smith and Sanford",52.85,2024-02-21
35927483,Reyes PLC,1.78,2024-07-12
35495640,"Suarez, Russell and Coleman",11.26,2024-05-28
35927483,"Evans, Young and Dean",41.94,2024-01-13
35495640,Jones and Sons,47.7,2024-03-28
56124453,"Nguyen, Walker and Church",93.19,2024-04-23
35927483,"Martin, Fuentes and Owens",70.09,2024-02-03
35495640,Hughes Inc,74.92,2024-03-24
56124453,Hayes-Rios,81.38,2024-04-14
56124453,"Hamilton, Brown and Vincent",89.04,2024-02-18
35495640,Davis-Ramos,64.61,2024-04-04
56124453,"Martin, Fuentes and Owens",35.38,2024-01-12
56124453,Carpenter PLC,68.47,2024-05-14
35927483,Monroe-Howard,9.93,2024-03-09
56124453,Hester-Thomas,81.17,2024-06-04
35495640,"Martin, Fuentes and Owens",99.41,2024-04-02
56124453,Hester-Thomas,15.11,2024-03-12
56124453,Carpenter PLC,35.28,2024-04-01
35495640,"Barnes, Young and Sanchez",46.98,2024-01-03
56124453,"Hamilton, Brown and Vincent",28.01,2024-03-12
35927483,Hayes-Rios,23.91,2024-04-28
56124453,Monroe-Howard,51.2,2024-03-12
35927483,Hughes Inc,52.43,2024-03-17
35495640,"Trujillo, Ewing and Young",85.38,2024-04-20
35495640,Davis-Kennedy,78.3,2024-03-12
56124453,Weber-Lynch,70.27,2024-04-24
35927483,"Greene, Martin and Benson",43.02,2024-02-12
56124453,"Trujillo, Ewing and Young",83.12,2024-01-23
35495640,Gomez-Hunt,76.06,2024-02-09
35927483,"Barnes, Young and Sanchez",51.37,2024-03-13
35495640,Davis-Ramos,2.74,2024-03-05
35927483,"Rodriguez, Ray and Romero",39.97,2024-04-13
35495640,Carpenter PLC,56.98,2024-06-27
35927483,"Castillo, Hill and Lee",72.57,2024-06-28
56124453,"Greene, Martin and Benson",23.22,2024-01-25
35495640,Hayes-Rios,96.63,2024-01-31
35495640,Hester-Thomas,65.49,2024-02-19
35495640,"Hamilton, Brown and Vincent",66.73,2024-07-23
35495640,Davis-Kennedy,44.0,2024-07-08
35495640,Smith-Daniels,67.02,2024-05-05
56124453,Reyes PLC,25.79,2024-02-01
35495640,Smith-Daniels,15.71,2024-05-16
35927483,"Evans, Young and Dean",44.9,2024-06-08
35927483,"Hamilton, Brown and Vincent",95.55,2024-02-14
56124453,"Smith, Smith and Sanford",13.52,2024-03-05
56124453,Jones and Sons,3.19,2024-04-27
35927483,Weber-Lynch,40.52,2024-01-28
56124453,"Figueroa, Stark and Ferguson",59.77,2024-01-01
35927483,"Castillo, Hill and Lee",10.92,2024-04-22
56124453,"Trujillo, Ewing and Young",63.7,2024-01-30
35927483,"Greene, Martin and Benson",48.28,2024-06-07
35495640,"Suarez, Russell and Coleman",53.57,2024-01-18
56124453,"Martin, Fuentes and Owens",49.88,2024-03-24
56124453,"Nguyen, Walker and Church",77.7,2024-07-13
35927483,"Thomas, Walker and Craig",36.03,2024-02-22
35495640,"Martin, Fuentes and Owens",8.73,2024-04-19
35495640,Davis-Ramos,94.14,2024-04-02
35927483,"Smith, Smith and Sanford",14.33,2024-05-01
35495640,Reyes PLC,66.07,2024-03-22
35927483,Hester-Thomas,18.53,2024-04-30
35927483,"Suarez, Russell and Coleman",31.56,2024-06-28
35495640,"Hamilton, Brown and Vincent",92.4,2024-01-18
56124453,Reyes PLC,59.74,2024-03-07
35927483,"Suarez, Russell and Coleman",66.03,2024-01-01
35495640,Reyes PLC,72.25,2024-04-16
56124453,"Castillo, Hill and Lee",21.54,2024-07-20
35495640,"Rhodes, Miller and Jackson",30.43,2024-06-03
56124453,"Evans, Young and Dean",18.21,2024-04-24
56124453,"Martin, Fuentes and Owens",78.41,2024-04-23
35927483,Hester-Thomas,32.04,2024-02-11
56124453,"Hamilton, Brown and Vincent",10.41,2024-06-18
35495640,"Greene, Martin and Benson",87.04,2024-07-22
35927483,Carpenter PLC,71.79,2024-06-19
35927483,"Suarez, Russell and Coleman",89.32,2024-06-27
56124453,"Barnes, Young and Sanchez",33.26,2024-04-06
56124453,"Rhodes, Miller and Jackson",10.93,2024-07-16
35927483,Allen Ltd,12.69,2024-04-05
35927483,"Trujillo, Ewing and Young",64.94,2024-03-14
35495640,Gomez-Hunt,98.56,2024-05-12
56124453,Hayes-Rios,28.24,2024-07-27
35927483,"Martin, Fuentes and Owens",82.25,2024-03-23
35495640,Sanchez-Meyers,26.23,2024-02-07
35927483,"Nguyen, Walker and Church",41.7,2024-01-04
56124453,"Evans, Young and Dean",1.08,2024-03-15
35927483,Hayes-Rios,85.12,2024-07-03
35495640,"Barnes, Young and Sanchez",92.49,2024-01-12
56124453,"Nguyen, Walker and Church",46.87,2024-02-15
56124453,"Trujillo, Ewing and Young",93.35,2024-06-06
35495640,"Trujillo, Ewing and Young",8.08,2024-01-26
56124453,"Rhodes, Miller and Jackson",67.1,2024-07-11
35495640,"Evans, Young and Dean",85.07,2024-01-09
56124453,"Castillo, Hill and Lee",70.66,2024-04-24
35495640,"Rhodes, Miller and Jackson",17.73,2024-05-07
35927483,Davis-Kennedy,89.86,2024-03-25
35495640,Jones and Sons,91.64,2024-06-07
56124453,Carpenter PLC,8.86,2024-02-11
56124453,Jones and Sons,64.44,2024-07-12
35495640,Hughes Inc,98.09,2024-05-01
35495640,Monroe-Howard,31.83,2024-03-25
35927483,"Barnes, Young and Sanchez",16.48,2024-04-15
35927483,Jones and Sons,8.49,2024-07-05
35495640,"Castillo, Hill and Lee",67.33,2024-02-20
35927483,Smith-Daniels,56.04,2024-06-06
56124453,Carpenter PLC,0.75,2024-02-03
56124453,"Trujillo, Ewing and Young",21.27,2024-04-05
56124453,Hughes Inc,66.43,2024-07-15
56124453,"Evans, Young and Dean",8.6,2024-02-12
56124453,Davis-Kennedy,58.83,2024-02-01
35495640,"Nguyen, Walker and Church",93.6,2024-01-16
35927483,"Martin, Fuentes and Owens",75.04,2024-07-24
35495640,Davis-Kennedy,83.15,2024-05-18
35495640,Monroe-Howard,52.23,2024-05-06
56124453,Allen Ltd,86.86,2024-05-08
56124453,Jones and Sons,91.15,2024-01-25
56124453,"Castillo, Hill and Lee",57.89,2024-02-24
35495640,Monroe-Howard,59.13,2024-06-24
35495640,"Thomas, Walker and Craig",23.92,2024-01-12
35495640,Carpenter PLC,30.84,2024-02-04
35927483,Sanchez-Meyers,35.52,2024-07-14
56124453,"Hamilton, Brown and Vincent",13.4,2024-03-02
35927483,Brown-Shaffer,62.05,2024-01-01
35927483,"Barnes, Young and Sanchez",40.48,2024-06-15
35495640,Reyes PLC,99.32,2024-02-14
56124453,"Suarez, Russell and Coleman",45.95,2024-06-09
35927483,Davis-Ramos,29.19,2024-03-03
56124453,"Suarez, Russell and Coleman",18.21,2024-06-17
35927483,"Nguyen, Walker and Church",35.86,2024-01-10
35927483,"Figueroa, Stark and Ferguson",15.91,2024-06-22
35495640,"Martin, Fuentes and Owens",6.9,2024-02-19
35495640,Weber-Lynch,87.08,2024-01-09
56124453,Davis-Kennedy,94.76,2024-05-19
56124453,Davis-Mcgee,59.84,2024-07-11
56124453,Hester-Thomas,16.58,2024-04-15
56124453,"Smith, Smith and Sanford",69.86,2024-05-13
56124453,Smith-Daniels,84.51,2024-02-27
35495640,"Rodriguez, Ray and Romero",60.63,2024-02-02
56124453,"Rodriguez, Ray and Romero",1.61,2024-05-17
56124453,Monroe-Howard,55.77,2024-01-30
35495640,Allen Ltd,67.84,2024-03-28
56124453,Smith-Daniels,85.77,2024-05-20
35495640,"Barnes, Young and Sanchez",30.61,2024-01-05
35495640,Davis-Kennedy,57.97,2024-01-23
35927483,Davis-Ramos,65.75,2024-06-21
35495640,"Barnes, Young and Sanchez",52.36,2024-06-12
56124453,"Figueroa, Stark and Ferguson",70.11,2024-02-14
35495640,"Figueroa, Stark and Ferguson",84.8,2024-05-26
56124453,Davis-Kennedy,19.28,2024-03-18
35495640,Monroe-Howard,25.01,2024-04-14
35495640,Davis-Mcgee,75.74,2024-02-18
56124453,"Thomas, Walker and Craig",51.44,2024-03-24
56124453,Davis-Ramos,10.04,2024-06-22
35927483,"Figueroa, Stark and Ferguson",67.39,2024-05-02
35495640,"Figueroa, Stark and Ferguson",57.66,2024-03-01
56124453,Allen Ltd,55.89,2024-03-01
35495640,"Suarez, Russell and Coleman",18.55,2024-02-28
